codigo,nombre,lat,lng
3002002,Agost,38.43606138,-0.63804064
3009006,Alcoi - Verge dels Lliris,38.70651691,-0.46721615
3014006,Alacant - El Pla,38.3585473,-0.47117105
3014008,Alacant - Florida Babel,38.34031146,-0.50663306
3014009,Alacant - Rabassa,38.367711,-0.51415105
3014010,Alacant_Parc_Mar_Prov,38.33488209,-0.50227111
3014011,Alacant Met Moll 17,38.32932215,-0.49357273
3014012,Alacant_AP_ISM,38.33695869,-0.49200889
3014013,Alacant_AP_T_Frutero,38.33684925,-0.49655795
3014014,Alacant_AP_D_Pesquera,38.33124555,-0.50515087
3031002,Benidorm,38.57297101,-0.14637164
3065006,Elx - Agroalimentari,38.2427058,-0.68294108
3065007,Elx - Parc de Bombers,38.25903586,-0.71708243
3066003,Elda - Lacy,38.4454011,-0.8060875
3099002,Orihuela,38.08651681,-0.85383502
3105001,el Pinós,38.45162966,-1.06474117
3133002,Torrevieja,37.993143,-0.6905527
3140001,Villena Parque Feria,38.6395316,-0.87249274
12005004,l'Alcora - PM,40.07422707,-0.21310334
12005005,l'Alcora,40.06802564,-0.20658276
12009007,Almassora - C.P.Ochando,39.94420428,-0.05739487
12009302,Almassora Platja,39.94398345,-0.00292812
12028001,Benicàssim,40.06108425,0.07171645
12032001,Borriana,39.90773085,-0.06610364
12032005,Borriana - Residència,39.89463981,-0.08965625
12040008,Castelló - Penyeta,40.01288139,-0.05812862
12040009,Castelló - Ermita,39.95762675,-0.03742911
12040010,Castelló - Grau,39.98353084,0.00896314
12040015,Castelló - Patronat d´Esports,39.98870199,-0.02646873
12040016,Castelló - ITC,39.99583283,-0.06486177
12040020,Castelló CEIP La Marina,39.96944611,0.0089427
12040301,Castelló AP Tramuntana,39.97499992,0.01638888
12040302,Castelló AP Gregal,39.96972214,0.01361108
12040303,Castelló AP Llevant,39.96667768,0.00890491
12040304,Castelló AP Ponent,39.96305554,0.00694444
12040305,Castelló AP Xaloc,39.95025201,0.00501868
12040306,Castelló AP Mestral,39.9773674,0.02505017
12046001,Cirat,40.05433129,-0.46841681
12080007,Morella,40.63636436,-0.0929485
12084003,Onda,39.96161557,-0.25148328
12093004,Coratxà,40.68992977,0.08310178
12099001,Sant Jordi,40.55477709,0.37270245
12120001,Torre d'En Doménec,40.26806058,0.07771592
12124001,la Vall d'Alba PM,40.17641663,-0.03558581
12126003,la Vall d'Uixó,39.82353945,-0.2444575
12129001,Vilafranca,40.43325918,-0.24904897
12135004,Vila-real-PM,39.94313809,-0.10726978
12140002,Viver,39.9264105,-0.60318573
12141002,Zorita,40.73310441,-0.17026025
46010001,Albalat dels Tarongers,39.70509377,-0.33618192
46017002,Alzira,39.14996506,-0.45786026
46028001,Algar de Palància,39.78230654,-0.35921293
46062001,Benigànim,38.93748602,-0.44158883
46077006,Buñol Cimsa,39.42963331,-0.78544592
46078004,Burjassot - Facultats,39.50961041,-0.41796381
46095001,Caudete de las Fuentes,39.56001659,-1.28272506
46099001,Cortes de Pallás,39.26089758,-0.93464224
46102002,Quart de Poblet,39.48135806,-0.44655002
46131002,Gandia,38.96797739,-0.19109882
46184002,Ontinyent,38.79521458,-0.6827819
46190005,Paterna - CEAM,39.55208592,-0.46170948
46220003,Sagunt - Port,39.66496682,-0.23123181
46220009,Sagunt - Nord,39.68475916,-0.27861163
46220010,Sagunt - CEA,39.63303581,-0.26668351
46230003,Silla_UM_2,39.36841933,-0.40470267
46235501,Sueca TM Marjal,39.24621837,-0.3171898
46242001,Torrebaja,40.09390533,-1.25187568
46244003,Torrent-El Vedat,39.42539948,-0.48240795
46250030,València - Pista de Silla,39.45806013,-0.37665323
46250043,València - Vivers,39.47948825,-0.36955032
46250046,València - Politècnic,39.47962193,-0.3374074
46250047,València - Av. França,39.45750439,-0.3426899
46250048,València - Molí del Sol,39.48113875,-0.40855865
46250049,València-Conselleria Meteo,39.4720341,-0.40487846
46250050,València - Bulevard Sud,39.45037852,-0.39631399
46250054,València - Centre,39.47071883,-0.37648469
46250055,València Olivereta,39.46923859,-0.40603766
46250301,València Port Moll Trans. Ponent,39.45926486,-0.32321741
46250302,València Port llit antic Túria,39.45051894,-0.32894501
46250900,València - Nazaret Met-2,39.44855408,-0.33328931
46256001,Vilamarxant,39.56423573,-0.62551551
46258001,Villar del Arzobispo,39.70801051,-0.83204256
